Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present
sync_parameter_server,Tacha-S,ROS2 package for managing the synchronization of parameters between multiple nodes.,https://github.com/Tacha-S/sync_parameter_server,71,6,0,0,ros2,Apache-2.0,True,False,False,False,False,True,good first issue,1,11,2023-11-23T09:23:09Z,3,254,0,docs,User,71,1,6,C++;Python;CMake,Tacha-S/sync_parameter_server,humble
sync_tooling_msgs,tier4,ROS2 message types used in tier4/sync_tooling and drivers like tier4/nebula,https://github.com/tier4/sync_tooling_msgs,165,1,0,1,,Apache-2.0,True,False,False,False,False,True,good first issue,1,63,2025-01-24T07:21:16Z,12,180,0,config,Organization,165,1,1,Python;CMake,tier4/sync_tooling_msgs,humble|jazzy
synchros2,bdaiinstitute,Wrappers and other utilities for ROS2,https://github.com/bdaiinstitute/synchros2,872,57,8,2,,MIT,True,True,False,True,False,True,good first issue,16,177,2023-04-01T20:49:20Z,3,152,0,docs,Organization,872,11,57,Python;Shell;CMake;Dockerfile,bdaiinstitute/synchros2,humble|jazzy
ros_system_fingerprint,MetroRobots,A simple tool for getting information about a system to share,https://github.com/MetroRobots/ros_system_fingerprint,49,33,1,2,,BSD-2-Clause,True,False,False,False,False,True,good first issue,2,29,2022-05-19T20:25:15Z,2,27,0,docs,Organization,49,3,33,Python,MetroRobots/ros_system_fingerprint,humble|jazzy|kilted
talos_simulation,pal-robotics,,https://github.com/pal-robotics/talos_simulation,19633,8,2,2,biped;humanoid;humanoid-robot;position-control;simulation;torque-control,Apache-2.0,False,False,False,False,False,True,good first issue,7,165,2016-07-13T13:04:06Z,88,19573,0,docs,Organization,19633,8,8,Python;CMake,pal-robotics/talos_simulation,humble
talos_moveit_config,pal-robotics,,https://github.com/pal-robotics/talos_moveit_config,92,1,1,0,,,False,False,False,False,False,True,good first issue,5,54,2016-10-31T13:59:59Z,26,2047,0,docs,Organization,92,6,1,CMake,pal-robotics/talos_moveit_config,humble
tango_icons_vendor,ros-visualization,Provides Tango icons for non-linux systems,https://github.com/ros-visualization/tango_icons_vendor,865,1,2,0,,Apache-2.0,False,True,False,False,False,True,good first issue,8,34,2018-12-11T21:00:32Z,2,29,0,docs,Organization,865,6,1,CMake,ros-visualization/tango_icons_vendor,humble|jazzy|kilted
tecgihan_driver,tecgihan,"This package contains softwares for Tec Gihan Co.,Ltd. sensor amplifiers running with Linux and ROS.",https://github.com/tecgihan/tecgihan_driver,5300,1,4,3,,BSD-3-Clause,True,False,False,False,False,True,good first issue,4,28,2025-06-06T02:20:18Z,34,3571,0,docs,Organization,5300,1,1,Python,tecgihan/tecgihan_driver,humble|jazzy
teleop_twist_joy,ros2,Simple joystick teleop for twist robots,https://github.com/ros2/teleop_twist_joy,122,82,91,2,,Other,True,False,False,False,False,True,good first issue,22,120,2014-07-21T14:00:57Z,2,56,0,docs,Organization,122,9,82,C++;Python;CMake,ros2/teleop_twist_joy,humble|jazzy|kilted
teleop_twist_keyboard,ros2,Generic Keyboard Teleop for ROS 2,https://github.com/ros2/teleop_twist_keyboard,41,48,53,1,,Other,True,True,False,False,False,True,good first issue,15,61,2014-02-12T05:50:55Z,3,138,0,docs,Organization,41,11,48,Python,ros2/teleop_twist_keyboard,humble|jazzy|kilted
tensorrt_cmake_module,tier4,,https://github.com/tier4/tensorrt_cmake_module,16,2,5,1,,Apache-2.0,True,True,False,False,False,True,good first issue,1,14,2022-01-17T19:32:34Z,7,363,0,docs,Organization,16,3,2,CMake,tier4/tensorrt_cmake_module,humble|jazzy|kilted
test_interface_files,ros2,,https://github.com/ros2/test_interface_files,178,4,14,3,,Apache-2.0,False,True,False,False,False,True,good first issue,20,114,2015-05-18T23:44:01Z,4,238,0,code,Organization,178,19,4,CMake,ros2/test_interface_files,humble|jazzy|kilted
tf_transformations,DLu,Reimplementation of the tf/transformations.py library for common Python spatial operations,https://github.com/DLu/tf_transformations,27,59,18,5,,BSD-3-Clause,True,False,False,False,False,True,good first issue,4,20,2021-06-09T19:11:42Z,2,31,0,docs,User,27,1,59,Python,DLu/tf_transformations,humble|jazzy|kilted
tf_tree_terminal,Tanneguydv,A lightweight ROS 2 utility to visualize the Coordinate Transform (TF) tree directly in the terminal with a folder-style structure.,https://github.com/Tanneguydv/tf_tree_terminal,72,56,2,0,,MIT,True,False,False,False,False,True,good first issue,1,32,2025-12-23T10:12:03Z,12,297,0,docs,User,72,3,56,Python,Tanneguydv/tf_tree_terminal,humble|jazzy|kilted
tiago_moveit_config,pal-robotics,,https://github.com/pal-robotics/tiago_moveit_config,887,6,17,2,,Apache-2.0,True,True,False,False,False,False,,14,291,2014-11-19T10:38:33Z,25,1429,0,docs,Organization,887,8,6,Python;Shell;EmberScript;CMake,pal-robotics/tiago_moveit_config,humble
